FRQ, BETA, SPEED, GROUP, Mode, Mod(F), Pha(F), Re(F), Im(F) 
3.000000e-01, 0.000000, 0.000000, 0, 5, 7.648994e+05, 90.116294, -1.552521e+03, 7.648979e+05 
3.000000e-01, 0.000000, 0.000000, 0, 6, 4.820132e+00, 114.678044, -2.012496e+00, 4.379901e+00 
3.300000e-01, 0.000000, 0.000000, 0, 1, 2.055728e+03, 82.689952, 2.615679e+02, 2.039019e+03 
3.300000e-01, 0.000000, 0.000000, 0, 2, 2.591592e-02, -12.984767, 2.525324e-02, -5.823099e-03 
3.300000e-01, 0.000000, 0.000000, 0, 3, 8.198198e+03, 1.204146, 8.196388e+03, 1.722833e+02 
3.300000e-01, 0.000000, 0.000000, 0, 4, 3.016463e-01, 133.197871, -2.064829e-01, 2.198983e-01 
3.300000e-01, 0.000000, 0.000000, 0, 5, 8.155854e+05, 90.617403, -8.788347e+03, 8.155380e+05 
3.300000e-01, 0.000000, 0.000000, 0, 6, 5.441336e+00, 131.898318, -3.633782e+00, 4.050156e+00 
3.600000e-01, 0.000000, 0.000000, 0, 1, 1.975147e+03, 80.973453, 3.098848e+02, 1.950686e+03 
3.600000e-01, 0.000000, 0.000000, 0, 2, 3.308115e-02, 4.647433, 3.297238e-02, 2.680370e-03 
3.600000e-01, 0.000000, 0.000000, 0, 3, 6.111359e+03, 1.813122, 6.108299e+03, 1.933614e+02 
3.600000e-01, 0.000000, 0.000000, 0, 4, 5.065656e-01, 162.082868, -4.819984e-01, 1.558404e-01 
3.600000e-01, 0.000000, 0.000000, 0, 5, 8.237503e+05, 91.292321, -1.857833e+04, 8.235408e+05 
3.600000e-01, 0.000000, 0.000000, 0, 6, 5.969944e+00, 149.828854, -5.161183e+00, 3.000402e+00 
3.900000e-01, 0.000000, 0.000000, 0, 1, 1.720416e+03, 78.852105, 3.326291e+02, 1.687954e+03 
3.900000e-01, 0.000000, 0.000000, 0, 2, 4.139241e-02, 21.093366, 3.861892e-02, 1.489666e-02 
3.900000e-01, 0.000000, 0.000000, 0, 3, 3.968742e+03, 2.728965, 3.964241e+03, 1.889574e+02 
3.900000e-01, 0.000000, 0.000000, 0, 4, 7.356402e-01, 176.497141, -7.342658e-01, 4.494640e-02 
3.900000e-01, 0.000000, 0.000000, 0, 5, 7.813895e+05, 92.184128, -2.977953e+04, 7.808218e+05 
3.900000e-01, 0.000000, 0.000000, 0, 6, 6.341828e+00, 169.832185, -6.242229e+00, 1.119535e+00 
4.200000e-01, 0.000000, 0.000000, 0, 1, 1.290938e+03, 75.886544, 3.147860e+02, 1.251971e+03 
4.200000e-01, 0.000000, 0.000000, 0, 2, 4.954812e-02, 36.895776, 3.962507e-02, 2.974677e-02 
4.200000e-01, 0.000000, 0.000000, 0, 3, 1.924544e+03, 4.444101, 1.918757e+03, 1.491260e+02 
4.200000e-01, 0.000000, 0.000000, 0, 4, 9.196096e-01, -173.187179, -9.131162e-01, -1.090898e-01 
4.200000e-01, 0.000000, 0.000000, 0, 5, 6.858750e+05, 93.365281, -4.026187e+04, 6.846923e+05 
4.200000e-01, 0.000000, 0.000000, 0, 6, 6.635147e+00, -166.552387, -6.453231e+00, -1.543045e+00 
4.500000e-01, 0.000000, 0.000000, 0, 1, 7.203728e+02, 70.118989, 2.449757e+02, 6.774392e+02 
4.500000e-01, 0.000000, 0.000000, 0, 2, 5.573432e-02, 53.322301, 3.329083e-02, 4.469938e-02 
4.500000e-01, 0.000000, 0.000000, 0, 3, 1.623136e+02, 25.454937, 1.465567e+02, 6.976254e+01 
4.500000e-01, 0.000000, 0.000000, 0, 4, 1.005614e+00, -163.317897, -9.632897e-01, -2.886728e-01 
4.500000e-01, 0.000000, 0.000000, 0, 5, 5.421994e+05, 94.979729, -4.706470e+04, 5.401529e+05 
4.500000e-01, 0.000000, 0.000000, 0, 6, 7.150190e+00, -138.984942, -5.395084e+00, -4.692365e+00 
4.800000e-01, 0.000000, 0.000000, 0, 1, 1.263692e+02, 16.914058, 1.209027e+02, 3.676547e+01 
4.800000e-01, 0.000000, 0.000000, 0, 2, 5.846928e-02, 72.407111, 1.767243e-02, 5.573457e-02 
4.800000e-01, 0.000000, 0.000000, 0, 3, 1.186253e+03, -177.928659, -1.185478e+03, -4.287577e+01 
4.800000e-01, 0.000000, 0.000000, 0, 4, 9.560261e-01, -151.255879, -8.382209e-01, -4.597518e-01 
4.800000e-01, 0.000000, 0.000000, 0, 5, 3.642792e+05, 97.410443, -4.698340e+04, 3.612366e+05 
4.800000e-01, 0.000000, 0.000000, 0, 6, 8.244473e+00, -110.191760, -2.845689e+00, -7.737790e+00 
5.100000e-01, 0.000000, 0.000000, 0, 1, 5.673471e+02, -94.597147, -4.547246e+01, -5.655219e+02 
5.100000e-01, 0.000000, 0.000000, 0, 2, 5.835708e-02, 97.091132, -7.204058e-03, 5.791071e-02 
5.100000e-01, 0.000000, 0.000000, 0, 3, 1.961881e+03, -175.050534, -1.954566e+03, -1.692654e+02 
5.100000e-01, 0.000000, 0.000000, 0, 4, 7.739483e-01, -132.126601, -5.191421e-01, -5.740100e-01 
5.100000e-01, 0.000000, 0.000000, 0, 5, 1.746197e+05, 102.440029, -3.761617e+04, 1.705200e+05 
5.100000e-01, 0.000000, 0.000000, 0, 6, 9.883753e+00, -83.862622, 1.056699e+00, -9.827104e+00 
5.400000e-01, 0.000000, 0.000000, 0, 1, 1.036035e+03, -102.568141, -2.254418e+02, -1.011210e+03 
5.400000e-01, 0.000000, 0.000000, 0, 2, 6.031178e-02, 129.211949, -3.812856e-02, 4.673033e-02 
5.400000e-01, 0.000000, 0.000000, 0, 3, 2.137164e+03, -172.532444, -2.119038e+03, -2.777560e+02 
