FRQ, BETA, SPEED, GROUP, Mode, Mod(Xi), Pha(Xi), Re(Xi), Im(Xi) 
8.700000e-01, 0.000000, 0.000000, 0, 6, 1.153216e-07, 153.960511, -1.036155e-07, 5.062507e-08 
9.000000e-01, 0.000000, 0.000000, 0, 1, 3.513831e-03, -160.251134, -3.307157e-03, -1.187317e-03 
9.000000e-01, 0.000000, 0.000000, 0, 2, 6.816061e-06, 22.403269, 6.301614e-06, 2.597758e-06 
9.000000e-01, 0.000000, 0.000000, 0, 3, 1.182886e-02, -159.120754, -1.105210e-02, -4.215801e-03 
9.000000e-01, 0.000000, 0.000000, 0, 4, 1.405376e-07, -154.964766, -1.273338e-07, -5.947207e-08 
9.000000e-01, 0.000000, 0.000000, 0, 5, 2.661697e-04, -169.665053, -2.618513e-04, -4.775145e-05 
9.000000e-01, 0.000000, 0.000000, 0, 6, 1.328509e-07, -134.483277, -9.308877e-08, -9.478314e-08 
9.300000e-01, 0.000000, 0.000000, 0, 1, 3.119221e-03, -109.722510, -1.052628e-03, -2.936241e-03 
9.300000e-01, 0.000000, 0.000000, 0, 2, 5.981407e-06, 96.396724, -6.664011e-07, 5.944168e-06 
9.300000e-01, 0.000000, 0.000000, 0, 3, 9.425662e-03, -107.682855, -2.863026e-03, -8.980322e-03 
9.300000e-01, 0.000000, 0.000000, 0, 4, 1.445435e-07, -117.051162, -6.573636e-08, -1.287306e-07 
9.300000e-01, 0.000000, 0.000000, 0, 5, 1.873937e-04, -100.940320, -3.556478e-05, -1.839879e-04 
9.300000e-01, 0.000000, 0.000000, 0, 6, 1.512978e-07, -104.141897, -3.696571e-08, -1.467125e-07 
9.600000e-01, 0.000000, 0.000000, 0, 1, 1.938655e-03, -22.965770, 1.784994e-03, -7.564267e-04 
9.600000e-01, 0.000000, 0.000000, 0, 2, 8.318982e-06, 116.566802, -3.720589e-06, 7.440610e-06 
9.600000e-01, 0.000000, 0.000000, 0, 3, 6.203004e-03, -31.897968, 5.266291e-03, -3.277719e-03 
9.600000e-01, 0.000000, 0.000000, 0, 4, 7.310584e-08, -39.491132, 5.641746e-08, -4.649230e-08 
9.600000e-01, 0.000000, 0.000000, 0, 5, 1.552603e-04, -29.900756, 1.345936e-04, -7.739714e-05 
9.600000e-01, 0.000000, 0.000000, 0, 6, 1.439531e-07, 25.124323, 1.303335e-07, 6.112014e-08 
9.900000e-01, 0.000000, 0.000000, 0, 1, 2.787531e-03, 11.136778, 2.735039e-03, 5.384167e-04 
