FRQ, BETA, SPEED, GROUP, Mode, Mod(F), Pha(F), Re(F), Im(F) 
3.300000e-01, 0.000000, 0.000000, 0, 3, 3.943991e+03, 140.322145, -3.035478e+03, 2.518121e+03 
3.300000e-01, 0.000000, 0.000000, 0, 4, 1.861752e-01, 92.916278, -9.471977e-03, 1.859341e-01 
3.300000e-01, 0.000000, 0.000000, 0, 5, 2.599511e+05, -109.811232, -8.810326e+04, -2.445658e+05 
3.300000e-01, 0.000000, 0.000000, 0, 6, 2.230522e+00, 73.260476, 6.424375e-01, 2.136001e+00 
3.600000e-01, 0.000000, 0.000000, 0, 1, 6.573333e+02, -127.627031, -4.013144e+02, -5.206091e+02 
3.600000e-01, 0.000000, 0.000000, 0, 2, 2.460083e-02, -94.024285, -1.726468e-03, -2.454017e-02 
3.600000e-01, 0.000000, 0.000000, 0, 3, 3.497030e+03, 139.831008, -2.672239e+03, 2.255739e+03 
3.600000e-01, 0.000000, 0.000000, 0, 4, 1.919955e-01, 97.315287, -2.444665e-02, 1.904328e-01 
3.600000e-01, 0.000000, 0.000000, 0, 5, 3.255724e+05, -114.381492, -1.343996e+05, -2.965369e+05 
3.600000e-01, 0.000000, 0.000000, 0, 6, 2.507751e+00, 92.774985, -1.214095e-01, 2.504810e+00 
3.900000e-01, 0.000000, 0.000000, 0, 1, 7.441397e+02, -132.679590, -5.044507e+02, -5.470589e+02 
3.900000e-01, 0.000000, 0.000000, 0, 2, 3.120062e-02, -82.412635, 4.119661e-03, -3.092745e-02 
3.900000e-01, 0.000000, 0.000000, 0, 3, 2.834177e+03, 140.744095, -2.194581e+03, 1.793425e+03 
3.900000e-01, 0.000000, 0.000000, 0, 4, 1.848750e-01, 104.603906, -4.661353e-02, 1.789021e-01 
3.900000e-01, 0.000000, 0.000000, 0, 5, 3.720978e+05, -118.342818, -1.766520e+05, -3.274918e+05 
3.900000e-01, 0.000000, 0.000000, 0, 6, 3.044543e+00, 113.847127, -1.230902e+00, 2.784622e+00 
4.200000e-01, 0.000000, 0.000000, 0, 1, 7.445871e+02, -138.179858, -5.548973e+02, -4.964866e+02 
4.200000e-01, 0.000000, 0.000000, 0, 2, 3.534792e-02, -72.761348, 1.047544e-02, -3.376005e-02 
4.200000e-01, 0.000000, 0.000000, 0, 3, 2.008736e+03, 143.032664, -1.604937e+03, 1.207973e+03 
4.200000e-01, 0.000000, 0.000000, 0, 4, 1.511626e-01, 115.887141, -6.599756e-02, 1.359943e-01 
4.200000e-01, 0.000000, 0.000000, 0, 5, 3.869481e+05, -121.361463, -2.013815e+05, -3.304154e+05 
4.200000e-01, 0.000000, 0.000000, 0, 6, 3.715969e+00, 132.314799, -2.501604e+00, 2.747800e+00 
4.500000e-01, 0.000000, 0.000000, 0, 1, 6.377079e+02, -144.555905, -5.195290e+02, -3.698121e+02 
4.500000e-01, 0.000000, 0.000000, 0, 2, 3.462070e-02, -59.244346, 1.770426e-02, -2.975150e-02 
4.500000e-01, 0.000000, 0.000000, 0, 3, 1.072680e+03, 148.106575, -9.107404e+02, 5.667410e+02 
4.500000e-01, 0.000000, 0.000000, 0, 4, 9.144432e-02, 152.823094, -8.134892e-02, 4.176622e-02 
4.500000e-01, 0.000000, 0.000000, 0, 5, 3.631687e+05, -123.019206, -1.978980e+05, -3.045126e+05 
4.500000e-01, 0.000000, 0.000000, 0, 6, 4.305464e+00, 151.345126, -3.778148e+00, 2.064610e+00 
4.800000e-01, 0.000000, 0.000000, 0, 1, 4.298261e+02, -154.444500, -3.877753e+02, -1.854206e+02 
4.800000e-01, 0.000000, 0.000000, 0, 2, 3.175835e-02, -34.769496, 2.608799e-02, -1.811103e-02 
4.800000e-01, 0.000000, 0.000000, 0, 3, 1.879159e+02, -158.653174, -1.750238e+02, -6.840375e+01 
4.800000e-01, 0.000000, 0.000000, 0, 4, 1.478346e-01, -134.790813, -1.041525e-01, -1.049158e-01 
4.800000e-01, 0.000000, 0.000000, 0, 5, 3.025846e+05, -122.844973, -1.641122e+05, -2.542138e+05 
4.800000e-01, 0.000000, 0.000000, 0, 6, 5.016414e+00, 172.332711, -4.971565e+00, 6.692920e-01 
5.100000e-01, 0.000000, 0.000000, 0, 1, 1.796042e+02, 169.591590, -1.766488e+02, 3.244792e+01 
5.100000e-01, 0.000000, 0.000000, 0, 2, 3.351489e-02, -1.938747, 3.349570e-02, -1.133844e-03 
5.100000e-01, 0.000000, 0.000000, 0, 3, 7.748112e+02, -51.605600, 4.812129e+02, -6.072615e+02 
5.100000e-01, 0.000000, 0.000000, 0, 4, 3.016260e-01, -117.311508, -1.383944e-01, -2.680022e-01 
5.100000e-01, 0.000000, 0.000000, 0, 5, 2.142954e+05, -120.341618, -1.082523e+05, -1.849431e+05 
5.100000e-01, 0.000000, 0.000000, 0, 6, 5.781932e+00, -169.553580, -5.686096e+00, -1.048357e+00 
5.400000e-01, 0.000000, 0.000000, 0, 1, 2.665127e+02, 72.053683, 8.211944e+01, 2.535457e+02 
5.400000e-01, 0.000000, 0.000000, 0, 2, 3.911246e-02, 27.218950, 3.478135e-02, 1.788973e-02 
5.400000e-01, 0.000000, 0.000000, 0, 3, 1.320300e+03, -44.840315, 9.361916e+02, -9.309877e+02 
5.400000e-01, 0.000000, 0.000000, 0, 4, 4.258779e-01, -111.975042, -1.593646e-01, -3.949365e-01 
5.400000e-01, 0.000000, 0.000000, 0, 5, 1.102547e+05, -113.077296, -4.321680e+04, -1.014317e+05 
5.400000e-01, 0.000000, 0.000000, 0, 6, 5.847498e+00, -152.512624, -5.187389e+00, -2.698931e+00 
5.700000e-01, 0.000000, 0.000000, 0, 1, 5.494481e+02, 51.110619, 3.449538e+02, 4.276681e+02 
5.700000e-01, 0.000000, 0.000000, 0, 2, 4.573076e-02, 54.623341, 2.647578e-02, 3.728721e-02 
5.700000e-01, 0.000000, 0.000000, 0, 3, 1.478990e+03, -40.234490, 1.129072e+03, -9.553051e+02 
5.700000e-01, 0.000000, 0.000000, 0, 4, 4.765471e-01, -107.359896, -1.421887e-01, -4.548401e-01 
5.700000e-01, 0.000000, 0.000000, 0, 5, 2.322062e+04, -35.274862, 1.895710e+04, -1.340989e+04 
5.700000e-01, 0.000000, 0.000000, 0, 6, 5.168580e+00, -127.678001, -3.159156e+00, -4.090715e+00 
6.000000e-01, 0.000000, 0.000000, 0, 1, 7.351056e+02, 42.042455, 5.459253e+02, 4.922863e+02 
6.000000e-01, 0.000000, 0.000000, 0, 2, 5.390865e-02, 76.938672, 1.218302e-02, 5.251397e-02 
6.000000e-01, 0.000000, 0.000000, 0, 3, 1.273151e+03, -33.596808, 1.060474e+03, -7.044920e+02 
6.000000e-01, 0.000000, 0.000000, 0, 4, 4.352582e-01, -103.750392, -1.034576e-01, -4.227839e-01 
